Symbol 1,Symbol 2,Symbol 3,Payout
1X BAR,1X BAR,1X BAR,11.11111
1X BAR,1X BAR,2X BAR,1.33333
1X BAR,1X BAR,3X BAR,1.44444
1X BAR,1X BAR,SEVEN,1.88888
1X BAR,1X BAR,BELL,1.11111
1X BAR,1X BAR,CHERRY,1.11111
1X BAR,1X BAR,CLOVER,1.11111
1X BAR,1X BAR,GEM,1.11111
1X BAR,1X BAR,JACKPOT,1.11111
1X BAR,1X BAR,LEMON,1.11111
1X BAR,2X BAR,1X BAR,1.33333
1X BAR,2X BAR,2X BAR,2.22222
1X BAR,2X BAR,3X BAR,0.55555
1X BAR,2X BAR,SEVEN,0.99999
1X BAR,2X BAR,BELL,0.22222
1X BAR,2X BAR,CHERRY,0.22222
1X BAR,2X BAR,CLOVER,0.22222
1X BAR,2X BAR,GEM,0.22222
1X BAR,2X BAR,JACKPOT,0.22222
1X BAR,2X BAR,LEMON,0.22222
1X BAR,3X BAR,1X BAR,1.44444
1X BAR,3X BAR,2X BAR,0.55555
1X BAR,3X BAR,3X BAR,3.33333
1X BAR,3X BAR,SEVEN,1.1111
1X BAR,3X BAR,BELL,0.33333
1X BAR,3X BAR,CHERRY,0.33333
1X BAR,3X BAR,CLOVER,0.33333
1X BAR,3X BAR,GEM,0.33333
1X BAR,3X BAR,JACKPOT,0.33333
1X BAR,3X BAR,LEMON,0.33333
1X BAR,SEVEN,1X BAR,1.88888
1X BAR,SEVEN,2X BAR,0.99999
1X BAR,SEVEN,3X BAR,1.1111
1X BAR,SEVEN,SEVEN,7.77777
1X BAR,SEVEN,BELL,0.77777
1X BAR,SEVEN,CHERRY,0.77777
1X BAR,SEVEN,CLOVER,0.77777
1X BAR,SEVEN,GEM,0.77777
1X BAR,SEVEN,JACKPOT,0.77777
1X BAR,SEVEN,LEMON,0.77777
1X BAR,BELL,1X BAR,1.11111
1X BAR,BELL,2X BAR,0.22222
1X BAR,BELL,3X BAR,0.33333
1X BAR,BELL,SEVEN,0.77777
1X BAR,BELL,BELL,0.0
1X BAR,BELL,CHERRY,0.0
1X BAR,BELL,CLOVER,0.0
1X BAR,BELL,GEM,0.0
1X BAR,BELL,JACKPOT,0.0
1X BAR,BELL,LEMON,0.0
1X BAR,CHERRY,1X BAR,1.11111
1X BAR,CHERRY,2X BAR,0.22222
1X BAR,CHERRY,3X BAR,0.33333
1X BAR,CHERRY,SEVEN,0.77777
1X BAR,CHERRY,BELL,0.0
1X BAR,CHERRY,CHERRY,0.0
1X BAR,CHERRY,CLOVER,0.0
1X BAR,CHERRY,GEM,0.0
1X BAR,CHERRY,JACKPOT,0.0
1X BAR,CHERRY,LEMON,0.0
1X BAR,CLOVER,1X BAR,1.11111
1X BAR,CLOVER,2X BAR,0.22222
1X BAR,CLOVER,3X BAR,0.33333
1X BAR,CLOVER,SEVEN,0.77777
1X BAR,CLOVER,BELL,0.0
1X BAR,CLOVER,CHERRY,0.0
1X BAR,CLOVER,CLOVER,0.0
1X BAR,CLOVER,GEM,0.0
1X BAR,CLOVER,JACKPOT,0.0
1X BAR,CLOVER,LEMON,0.0
1X BAR,GEM,1X BAR,1.11111
1X BAR,GEM,2X BAR,0.22222
1X BAR,GEM,3X BAR,0.33333
1X BAR,GEM,SEVEN,0.77777
1X BAR,GEM,BELL,0.0
1X BAR,GEM,CHERRY,0.0
1X BAR,GEM,CLOVER,0.0
1X BAR,GEM,GEM,0.0
1X BAR,GEM,JACKPOT,0.0
1X BAR,GEM,LEMON,0.0
1X BAR,JACKPOT,1X BAR,1.11111
1X BAR,JACKPOT,2X BAR,0.22222
1X BAR,JACKPOT,3X BAR,0.33333
1X BAR,JACKPOT,SEVEN,0.77777
1X BAR,JACKPOT,BELL,0.0
1X BAR,JACKPOT,CHERRY,0.0
1X BAR,JACKPOT,CLOVER,0.0
1X BAR,JACKPOT,GEM,0.0
1X BAR,JACKPOT,JACKPOT,0.0
1X BAR,JACKPOT,LEMON,0.0
1X BAR,LEMON,1X BAR,1.11111
1X BAR,LEMON,2X BAR,0.22222
1X BAR,LEMON,3X BAR,0.33333
1X BAR,LEMON,SEVEN,0.77777
1X BAR,LEMON,BELL,0.0
1X BAR,LEMON,CHERRY,0.0
1X BAR,LEMON,CLOVER,0.0
1X BAR,LEMON,GEM,0.0
1X BAR,LEMON,JACKPOT,0.0
1X BAR,LEMON,LEMON,0.0
2X BAR,1X BAR,1X BAR,1.33333
2X BAR,1X BAR,2X BAR,2.22222
2X BAR,1X BAR,3X BAR,0.55555
2X BAR,1X BAR,SEVEN,0.99999
2X BAR,1X BAR,BELL,0.22222
2X BAR,1X BAR,CHERRY,0.22222
2X BAR,1X BAR,CLOVER,0.22222
2X BAR,1X BAR,GEM,0.22222
2X BAR,1X BAR,JACKPOT,0.22222
2X BAR,1X BAR,LEMON,0.22222
2X BAR,2X BAR,1X BAR,2.22222
2X BAR,2X BAR,2X BAR,22.22222
2X BAR,2X BAR,3X BAR,2.55555
2X BAR,2X BAR,SEVEN,2.99999
2X BAR,2X BAR,BELL,2.22222
2X BAR,2X BAR,CHERRY,2.22222
2X BAR,2X BAR,CLOVER,2.22222
2X BAR,2X BAR,GEM,2.22222
2X BAR,2X BAR,JACKPOT,2.22222
2X BAR,2X BAR,LEMON,2.22222
2X BAR,3X BAR,1X BAR,0.55555
2X BAR,3X BAR,2X BAR,2.55555
2X BAR,3X BAR,3X BAR,3.55555
2X BAR,3X BAR,SEVEN,1.33332
2X BAR,3X BAR,BELL,0.55555
2X BAR,3X BAR,CHERRY,0.55555
2X BAR,3X BAR,CLOVER,0.55555
2X BAR,3X BAR,GEM,0.55555
2X BAR,3X BAR,JACKPOT,0.55555
2X BAR,3X BAR,LEMON,0.55555
2X BAR,SEVEN,1X BAR,0.99999
2X BAR,SEVEN,2X BAR,2.99999
2X BAR,SEVEN,3X BAR,1.33332
2X BAR,SEVEN,SEVEN,7.99999
2X BAR,SEVEN,BELL,0.99999
2X BAR,SEVEN,CHERRY,0.99999
2X BAR,SEVEN,CLOVER,0.99999
2X BAR,SEVEN,GEM,0.99999
2X BAR,SEVEN,JACKPOT,0.99999
2X BAR,SEVEN,LEMON,0.99999
2X BAR,BELL,1X BAR,0.22222
2X BAR,BELL,2X BAR,2.22222
2X BAR,BELL,3X BAR,0.55555
2X BAR,BELL,SEVEN,0.99999
2X BAR,BELL,BELL,0.22222
2X BAR,BELL,CHERRY,0.22222
2X BAR,BELL,CLOVER,0.22222
2X BAR,BELL,GEM,0.22222
2X BAR,BELL,JACKPOT,0.22222
2X BAR,BELL,LEMON,0.22222
2X BAR,CHERRY,1X BAR,0.22222
2X BAR,CHERRY,2X BAR,2.22222
2X BAR,CHERRY,3X BAR,0.55555
2X BAR,CHERRY,SEVEN,0.99999
2X BAR,CHERRY,BELL,0.22222
2X BAR,CHERRY,CHERRY,0.22222
2X BAR,CHERRY,CLOVER,0.22222
2X BAR,CHERRY,GEM,0.22222
2X BAR,CHERRY,JACKPOT,0.22222
2X BAR,CHERRY,LEMON,0.22222
2X BAR,CLOVER,1X BAR,0.22222
2X BAR,CLOVER,2X BAR,2.22222
2X BAR,CLOVER,3X BAR,0.55555
2X BAR,CLOVER,SEVEN,0.99999
2X BAR,CLOVER,BELL,0.22222
2X BAR,CLOVER,CHERRY,0.22222
2X BAR,CLOVER,CLOVER,0.22222
2X BAR,CLOVER,GEM,0.22222
2X BAR,CLOVER,JACKPOT,0.22222
2X BAR,CLOVER,LEMON,0.22222
2X BAR,GEM,1X BAR,0.22222
2X BAR,GEM,2X BAR,2.22222
2X BAR,GEM,3X BAR,0.55555
2X BAR,GEM,SEVEN,0.99999
2X BAR,GEM,BELL,0.22222
2X BAR,GEM,CHERRY,0.22222
2X BAR,GEM,CLOVER,0.22222
2X BAR,GEM,GEM,0.22222
2X BAR,GEM,JACKPOT,0.22222
2X BAR,GEM,LEMON,0.22222
2X BAR,JACKPOT,1X BAR,0.22222
2X BAR,JACKPOT,2X BAR,2.22222
2X BAR,JACKPOT,3X BAR,0.55555
2X BAR,JACKPOT,SEVEN,0.99999
2X BAR,JACKPOT,BELL,0.22222
2X BAR,JACKPOT,CHERRY,0.22222
2X BAR,JACKPOT,CLOVER,0.22222
2X BAR,JACKPOT,GEM,0.22222
2X BAR,JACKPOT,JACKPOT,0.22222
2X BAR,JACKPOT,LEMON,0.22222
2X BAR,LEMON,1X BAR,0.22222
2X BAR,LEMON,2X BAR,2.22222
2X BAR,LEMON,3X BAR,0.55555
2X BAR,LEMON,SEVEN,0.99999
2X BAR,LEMON,BELL,0.22222
2X BAR,LEMON,CHERRY,0.22222
2X BAR,LEMON,CLOVER,0.22222
2X BAR,LEMON,GEM,0.22222
2X BAR,LEMON,JACKPOT,0.22222
2X BAR,LEMON,LEMON,0.22222
3X BAR,1X BAR,1X BAR,1.44444
3X BAR,1X BAR,2X BAR,0.55555
3X BAR,1X BAR,3X BAR,3.33333
3X BAR,1X BAR,SEVEN,1.1111
3X BAR,1X BAR,BELL,0.33333
3X BAR,1X BAR,CHERRY,0.33333
3X BAR,1X BAR,CLOVER,0.33333
3X BAR,1X BAR,GEM,0.33333
3X BAR,1X BAR,JACKPOT,0.33333
3X BAR,1X BAR,LEMON,0.33333
3X BAR,2X BAR,1X BAR,0.55555
3X BAR,2X BAR,2X BAR,2.55555
3X BAR,2X BAR,3X BAR,3.55555
3X BAR,2X BAR,SEVEN,1.33332
3X BAR,2X BAR,BELL,0.55555
3X BAR,2X BAR,CHERRY,0.55555
3X BAR,2X BAR,CLOVER,0.55555
3X BAR,2X BAR,GEM,0.55555
3X BAR,2X BAR,JACKPOT,0.55555
3X BAR,2X BAR,LEMON,0.55555
3X BAR,3X BAR,1X BAR,3.33333
3X BAR,3X BAR,2X BAR,3.55555
3X BAR,3X BAR,3X BAR,33.33333
3X BAR,3X BAR,SEVEN,4.1111
3X BAR,3X BAR,BELL,3.33333
3X BAR,3X BAR,CHERRY,3.33333
3X BAR,3X BAR,CLOVER,3.33333
3X BAR,3X BAR,GEM,3.33333
3X BAR,3X BAR,JACKPOT,3.33333
3X BAR,3X BAR,LEMON,3.33333
3X BAR,SEVEN,1X BAR,1.1111
3X BAR,SEVEN,2X BAR,1.33332
3X BAR,SEVEN,3X BAR,4.1111
3X BAR,SEVEN,SEVEN,8.1111
3X BAR,SEVEN,BELL,1.1111
3X BAR,SEVEN,CHERRY,1.1111
3X BAR,SEVEN,CLOVER,1.1111
3X BAR,SEVEN,GEM,1.1111
3X BAR,SEVEN,JACKPOT,1.1111
3X BAR,SEVEN,LEMON,1.1111
3X BAR,BELL,1X BAR,0.33333
3X BAR,BELL,2X BAR,0.55555
3X BAR,BELL,3X BAR,3.33333
3X BAR,BELL,SEVEN,1.1111
3X BAR,BELL,BELL,0.33333
3X BAR,BELL,CHERRY,0.33333
3X BAR,BELL,CLOVER,0.33333
3X BAR,BELL,GEM,0.33333
3X BAR,BELL,JACKPOT,0.33333
3X BAR,BELL,LEMON,0.33333
3X BAR,CHERRY,1X BAR,0.33333
3X BAR,CHERRY,2X BAR,0.55555
3X BAR,CHERRY,3X BAR,3.33333
3X BAR,CHERRY,SEVEN,1.1111
3X BAR,CHERRY,BELL,0.33333
3X BAR,CHERRY,CHERRY,0.33333
3X BAR,CHERRY,CLOVER,0.33333
3X BAR,CHERRY,GEM,0.33333
3X BAR,CHERRY,JACKPOT,0.33333
3X BAR,CHERRY,LEMON,0.33333
3X BAR,CLOVER,1X BAR,0.33333
3X BAR,CLOVER,2X BAR,0.55555
3X BAR,CLOVER,3X BAR,3.33333
3X BAR,CLOVER,SEVEN,1.1111
3X BAR,CLOVER,BELL,0.33333
3X BAR,CLOVER,CHERRY,0.33333
3X BAR,CLOVER,CLOVER,0.33333
3X BAR,CLOVER,GEM,0.33333
3X BAR,CLOVER,JACKPOT,0.33333
3X BAR,CLOVER,LEMON,0.33333
3X BAR,GEM,1X BAR,0.33333
3X BAR,GEM,2X BAR,0.55555
3X BAR,GEM,3X BAR,3.33333
3X BAR,GEM,SEVEN,1.1111
3X BAR,GEM,BELL,0.33333
3X BAR,GEM,CHERRY,0.33333
3X BAR,GEM,CLOVER,0.33333
3X BAR,GEM,GEM,0.33333
3X BAR,GEM,JACKPOT,0.33333
3X BAR,GEM,LEMON,0.33333
3X BAR,JACKPOT,1X BAR,0.33333
3X BAR,JACKPOT,2X BAR,0.55555
3X BAR,JACKPOT,3X BAR,3.33333
3X BAR,JACKPOT,SEVEN,1.1111
3X BAR,JACKPOT,BELL,0.33333
3X BAR,JACKPOT,CHERRY,0.33333
3X BAR,JACKPOT,CLOVER,0.33333
3X BAR,JACKPOT,GEM,0.33333
3X BAR,JACKPOT,JACKPOT,0.33333
3X BAR,JACKPOT,LEMON,0.33333
3X BAR,LEMON,1X BAR,0.33333
3X BAR,LEMON,2X BAR,0.55555
3X BAR,LEMON,3X BAR,3.33333
3X BAR,LEMON,SEVEN,1.1111
3X BAR,LEMON,BELL,0.33333
3X BAR,LEMON,CHERRY,0.33333
3X BAR,LEMON,CLOVER,0.33333
3X BAR,LEMON,GEM,0.33333
3X BAR,LEMON,JACKPOT,0.33333
3X BAR,LEMON,LEMON,0.33333
SEVEN,1X BAR,1X BAR,1.88888
SEVEN,1X BAR,2X BAR,0.99999
SEVEN,1X BAR,3X BAR,1.1111
SEVEN,1X BAR,SEVEN,7.77777
SEVEN,1X BAR,BELL,0.77777
SEVEN,1X BAR,CHERRY,0.77777
SEVEN,1X BAR,CLOVER,0.77777
SEVEN,1X BAR,GEM,0.77777
SEVEN,1X BAR,JACKPOT,0.77777
SEVEN,1X BAR,LEMON,0.77777
SEVEN,2X BAR,1X BAR,0.99999
SEVEN,2X BAR,2X BAR,2.99999
SEVEN,2X BAR,3X BAR,1.33332
SEVEN,2X BAR,SEVEN,7.99999
SEVEN,2X BAR,BELL,0.99999
SEVEN,2X BAR,CHERRY,0.99999
SEVEN,2X BAR,CLOVER,0.99999
SEVEN,2X BAR,GEM,0.99999
SEVEN,2X BAR,JACKPOT,0.99999
SEVEN,2X BAR,LEMON,0.99999
SEVEN,3X BAR,1X BAR,1.1111
SEVEN,3X BAR,2X BAR,1.33332
SEVEN,3X BAR,3X BAR,4.1111
SEVEN,3X BAR,SEVEN,8.1111
SEVEN,3X BAR,BELL,1.1111
SEVEN,3X BAR,CHERRY,1.1111
SEVEN,3X BAR,CLOVER,1.1111
SEVEN,3X BAR,GEM,1.1111
SEVEN,3X BAR,JACKPOT,1.1111
SEVEN,3X BAR,LEMON,1.1111
SEVEN,SEVEN,1X BAR,7.77777
SEVEN,SEVEN,2X BAR,7.99999
SEVEN,SEVEN,3X BAR,8.1111
SEVEN,SEVEN,SEVEN,77.77777
SEVEN,SEVEN,BELL,7.77777
SEVEN,SEVEN,CHERRY,7.77777
SEVEN,SEVEN,CLOVER,7.77777
SEVEN,SEVEN,GEM,7.77777
SEVEN,SEVEN,JACKPOT,7.77777
SEVEN,SEVEN,LEMON,7.77777
SEVEN,BELL,1X BAR,0.77777
SEVEN,BELL,2X BAR,0.99999
SEVEN,BELL,3X BAR,1.1111
SEVEN,BELL,SEVEN,7.77777
SEVEN,BELL,BELL,0.77777
SEVEN,BELL,CHERRY,0.77777
SEVEN,BELL,CLOVER,0.77777
SEVEN,BELL,GEM,0.77777
SEVEN,BELL,JACKPOT,0.77777
SEVEN,BELL,LEMON,0.77777
SEVEN,CHERRY,1X BAR,0.77777
SEVEN,CHERRY,2X BAR,0.99999
SEVEN,CHERRY,3X BAR,1.1111
SEVEN,CHERRY,SEVEN,7.77777
SEVEN,CHERRY,BELL,0.77777
SEVEN,CHERRY,CHERRY,0.77777
SEVEN,CHERRY,CLOVER,0.77777
SEVEN,CHERRY,GEM,0.77777
SEVEN,CHERRY,JACKPOT,0.77777
SEVEN,CHERRY,LEMON,0.77777
